pc_time_iso,label,type,node_id,seq,local_time_us,rx_timestamp_us,src_mac,dst_mac,first_word_invalid,rx_seq,payload_len,rssi,channel,secondary_channel,rate,sig_mode,mcs,cwb,stbc,sgi,noise_floor,ant,sig_len,rx_state,csi_len,csi_raw_bytes
2026-05-28T23:53:00.965474,walking,CSI_DATA,1,103159,3213507087,3213724252,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,521,114,-34,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 -59 17 -63 16 -58 16 -59 18 -55 17 -54 21 -53 21 -52 24 -48 24 -51 24 -47 24 -47 26 -47 27 -44 29 -46 33 -44 31 -49 34 -47 29 -48 32 -49 30 -50 28 -48 27 -51 22 -48 17 -50 14 -48 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -34 13 -34 11 -41 11 -39 9 -44 9 -43 8 -46 8 -47 7 -49 5 -53 -1 -51 -1 -51 -4 -51 -1 -52 -1 -50 3 -52 3 -49 6 -53 9 -52 9 -55 13 -57 14 -58 16 -61 15 -61 13 -62 14 -60 15
2026-05-28T23:53:01.006770,walking,CSI_DATA,1,103160,3213551150,3213768317,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,522,114,-35,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 47 37 48 34 45 33 49 35 46 31 45 30 46 28 47 27 45 21 48 23 48 22 47 20 48 18 49 15 54 14 54 12 54 14 54 18 54 17 53 20 53 24 50 20 47 27 45 28 42 29 39 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 23 29 24 30 25 29 26 31 30 29 33 32 36 29 38 31 37 27 41 25 44 24 43 24 41 26 40 28 36 33 39 34 35 37 37 34 35 40 35 39 35 44 33 43 38 44 38 44 40 44 39
2026-05-28T23:53:01.019248,walking,CSI_DATA,1,103161,3213563934,3213781101,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,523,114,-36,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 59 4 57 4 59 4 55 4 56 1 55 -1 53 -2 52 -5 52 -4 49 -7 51 -7 50 -11 52 -11 53 -14 52 -10 55 -12 53 -12 56 -11 57 -9 56 -8 56 -5 54 -2 51 -2 51 2 50 5 51 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 -3 38 -1 39 1 41 4 42 4 44 7 44 7 46 9 44 12 45 11 45 14 45 14 46 13 46 14 47 12 44 13 48 11 46 9 50 7 50 5 52 4 54 4 54 3 56 3 57 2 58 3
2026-05-28T23:53:01.060940,walking,CSI_DATA,1,103162,3213604424,3213821588,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,524,114,-37,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -19 54 -21 56 -19 52 -17 55 -16 52 -13 53 -11 52 -9 52 -6 51 -7 52 -7 50 -6 51 -5 52 -1 51 2 56 2 53 0 59 -2 55 0 57 -3 57 -6 57 -7 56 -13 55 -15 50 -18 48 -20 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 37 -15 36 -19 38 -21 36 -23 39 -23 38 -24 40 -26 40 -27 41 -34 38 -33 36 -33 35 -34 36 -33 36 -28 37 -27 41 -24 40 -23 44 -24 43 -21 47 -21 48 -20 51 -22 53 -24 52 -25 54 -21 52
2026-05-28T23:53:01.077155,walking,CSI_DATA,1,103163,3213620786,3213837948,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,525,114,-37,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 58 -13 57 -12 58 -11 52 -11 54 -14 52 -13 51 -14 49 -17 50 -15 44 -20 45 -23 45 -27 46 -27 47 -28 48 -22 50 -23 47 -24 51 -24 53 -20 52 -17 52 -17 53 -12 48 -15 48 -13 49 -10 49 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 -14 37 -12 38 -10 41 -9 41 -7 44 -7 43 -2 46 -4 46 1 46 -4 46 -5 46 -4 47 -5 47 -5 48 -4 47 -1 48 -3 46 -5 50 -9 50 -7 52 -10 54 -9 52 -15 54 -18 56 -18 56 -17
2026-05-28T23:53:01.131580,walking,CSI_DATA,1,103164,3213675870,3213893037,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,526,114,-37,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 59 21 60 21 53 18 61 20 53 16 55 12 55 10 55 8 54 5 58 8 54 9 52 7 53 5 51 0 60 -3 54 -3 60 -2 56 -1 59 -3 58 -2 58 1 56 1 56 9 50 14 50 16 48 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 16 32 16 35 18 34 19 38 22 35 23 40 24 40 26 41 26 40 33 35 36 35 37 35 34 37 33 38 27 44 30 41 25 48 26 44 23 50 20 52 20 55 18 58 24 53 27 55 27 55 26
2026-05-28T23:53:01.169678,walking,CSI_DATA,1,103165,3213714457,3213931608,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,527,114,-37,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 13 61 11 60 11 58 15 60 12 56 16 53 18 51 19 51 23 48 20 50 19 49 20 48 21 47 25 45 30 47 31 45 30 50 28 48 30 47 27 48 25 49 24 50 17 52 12 50 10 50 8 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 36 5 36 4 38 3 39 2 42 2 43 2 45 0 46 1 48 -8 49 -9 48 -9 49 -10 47 -8 48 -4 48 1 51 2 49 4 52 3 51 8 53 8 54 12 56 9 60 5 59 6 61 8 58
2026-05-28T23:53:01.184914,walking,CSI_DATA,1,103166,3213728103,3213945272,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,528,114,-37,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -49 36 -48 38 -47 37 -47 37 -44 38 -46 36 -43 36 -41 36 -38 36 -36 39 -33 42 -32 43 -31 44 -32 42 -32 47 -32 45 -35 47 -36 46 -40 43 -40 41 -43 37 -42 36 -42 35 -41 35 -41 30 -43 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -24 25 -26 24 -30 24 -31 24 -34 24 -35 24 -40 23 -40 20 -41 21 -44 20 -43 21 -43 21 -44 22 -42 22 -42 21 -43 24 -41 24 -43 27 -43 28 -46 30 -45 29 -45 33 -45 35 -45 39 -45 39 -47 37
2026-05-28T23:53:01.209634,walking,CSI_DATA,1,103167,3213751720,3213968886,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,529,114,-35,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -54 -28 -54 -25 -55 -25 -53 -26 -52 -22 -51 -22 -52 -20 -50 -17 -52 -17 -51 -13 -51 -13 -51 -10 -54 -8 -54 -10 -56 -9 -56 -10 -57 -9 -58 -10 -58 -15 -55 -17 -57 -18 -53 -20 -51 -19 -49 -20 -47 -25 -46 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -34 -13 -34 -16 -36 -18 -36 -19 -36 -20 -37 -24 -37 -26 -37 -28 -38 -30 -38 -29 -36 -32 -37 -32 -38 -29 -38 -29 -38 -29 -39 -30 -40 -28 -42 -27 -44 -26 -44 -25 -47 -26 -48 -26 -53 -24 -53 -23 -53 -24 -55 -25
2026-05-28T23:53:01.224492,walking,CSI_DATA,1,103168,3213769124,3213986288,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,530,114,-36,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 58 22 60 22 55 19 60 20 55 17 55 14 55 12 55 9 55 7 57 9 56 9 54 7 54 6 54 1 61 0 59 -1 61 1 59 2 62 0 61 3 60 6 58 6 57 14 53 17 51 20 49 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 15 34 15 37 17 35 17 39 20 37 23 41 24 41 26 41 27 39 32 37 35 36 35 36 34 36 32 38 28 43 29 42 26 47 26 45 23 49 20 51 21 53 19 57 25 53 26 55 26 55 26
2026-05-28T23:53:01.239668,walking,CSI_DATA,1,103169,3213783730,3214000897,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,531,114,-36,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 54 29 51 29 52 29 49 27 50 25 50 24 48 23 49 18 51 21 49 13 51 12 52 9 53 8 55 8 53 12 56 13 54 10 57 13 57 16 54 18 54 19 50 23 49 18 48 20 47 23 45 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 11 35 15 36 17 37 20 37 21 38 25 36 29 38 29 36 34 38 29 38 31 38 31 39 30 39 30 40 30 36 32 40 32 40 28 43 28 43 29 45 27 47 29 50 25 52 25 54 25 56 26
2026-05-28T23:53:01.290878,walking,CSI_DATA,1,103170,3213835063,3214052227,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,532,114,-35,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -59 -22 -59 -20 -59 -21 -57 -21 -56 -16 -56 -19 -56 -17 -54 -13 -55 -14 -54 -10 -54 -8 -55 -4 -56 -4 -56 -3 -57 -4 -57 -5 -58 -6 -58 -5 -58 -9 -57 -10 -57 -15 -55 -15 -51 -15 -51 -16 -49 -18 -48 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -39 -4 -40 -6 -42 -9 -43 -13 -44 -15 -44 -17 -44 -20 -45 -24 -44 -24 -46 -25 -45 -25 -44 -25 -47 -24 -47 -25 -45 -25 -46 -26 -47 -24 -48 -23 -50 -21 -52 -20 -53 -20 -55 -21 -59 -19 -60 -18 -61 -18 -61 -19
2026-05-28T23:53:01.337764,walking,CSI_DATA,1,103171,3213881986,3214099148,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,533,114,-35,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 41 47 42 44 39 42 43 43 39 39 42 36 40 34 43 33 43 30 43 34 43 30 42 29 44 27 45 24 51 23 50 22 52 26 48 26 50 27 48 28 47 31 45 29 40 37 37 36 36 38 35 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 28 31 30 30 31 29 32 29 36 27 38 29 41 27 43 28 44 23 47 20 48 20 47 20 46 20 44 23 43 28 44 29 42 31 43 30 42 35 39 35 42 39 39 39 45 37 45 37 47 39 46
2026-05-28T23:53:01.355745,walking,CSI_DATA,1,103172,3213897509,3214114675,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,534,114,-34,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -50 -39 -46 -38 -48 -38 -43 -34 -47 -32 -47 -31 -46 -30 -47 -26 -48 -26 -48 -21 -49 -20 -49 -15 -51 -16 -55 -16 -50 -18 -54 -20 -52 -17 -55 -18 -55 -21 -51 -22 -52 -25 -48 -27 -47 -24 -45 -27 -44 -28 -42 -32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -38 -21 -37 -25 -34 -28 -36 -30 -35 -30 -36 -36 -35 -39 -35 -39 -32 -43 -32 -38 -35 -41 -33 -40 -34 -40 -34 -40 -34 -40 -33 -41 -36 -39 -36 -37 -39 -38 -41 -37 -43 -35 -44 -37 -47 -35 -50 -34 -50 -34 -51 -36
2026-05-28T23:53:01.397128,walking,CSI_DATA,1,103173,3213940923,3214158092,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,535,114,-34,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 59 9 58 7 55 5 58 6 53 4 53 -1 51 -3 51 -5 49 -8 53 -4 50 -4 48 -8 48 -7 47 -12 52 -17 49 -15 53 -16 51 -13 51 -16 52 -13 52 -11 51 -12 53 -4 49 0 50 4 48 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 8 44 7 47 9 44 10 49 14 46 17 49 17 48 17 50 19 49 26 44 29 44 28 44 28 44 26 44 19 49 19 46 16 52 16 48 12 52 10 54 10 56 6 59 13 55 14 57 12 57 13
2026-05-28T23:53:01.414973,walking,CSI_DATA,1,103174,3213958539,3214175699,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,536,114,-35,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 4 57 3 59 2 52 7 57 6 51 9 51 10 50 12 48 17 44 15 48 13 44 14 45 17 44 19 41 28 46 25 41 27 49 23 45 28 45 25 47 22 49 22 47 15 51 10 49 7 47 7 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 45 -4 49 -5 45 -8 50 -10 47 -8 52 -12 52 -9 53 -20 50 -22 50 -22 48 -20 47 -19 47 -13 45 -11 52 -7 47 -6 54 -6 48 -3 53 -2 52 3 55 -2 60 -5 58 -4 57 -1 55
2026-05-28T23:53:01.427948,walking,CSI_DATA,1,103175,3213970321,3214187488,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,537,114,-35,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 31 -48 31 -51 25 -47 29 -49 27 -45 24 -47 22 -47 19 -46 13 -47 17 -48 17 -46 15 -45 11 -47 10 -47 6 -54 5 -49 9 -54 9 -50 7 -53 10 -53 13 -49 12 -51 20 -49 21 -45 24 -41 24 -42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 -39 24 -38 29 -38 29 -36 33 -37 32 -36 36 -37 38 -34 37 -38 45 -31 42 -28 43 -28 44 -28 41 -29 38 -31 36 -37 33 -35 35 -40 33 -39 31 -42 33 -42 31 -46 34 -45 37 -44 37 -44 35 -43
2026-05-28T23:53:01.446667,walking,CSI_DATA,1,103176,3213988337,3214205504,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,538,114,-35,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 -56 15 -57 17 -53 15 -55 18 -49 16 -49 22 -48 21 -45 24 -42 25 -44 23 -43 25 -42 26 -42 27 -39 31 -40 34 -40 33 -44 37 -43 33 -42 34 -44 33 -45 30 -45 31 -48 25 -48 20 -49 16 -49 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -40 12 -41 11 -44 9 -45 7 -49 6 -46 5 -49 5 -49 3 -51 4 -52 -3 -49 -6 -50 -6 -51 -5 -50 -4 -50 0 -51 3 -49 4 -51 6 -49 9 -51 12 -52 13 -54 15 -56 14 -55 12 -56 11 -56 12
2026-05-28T23:53:01.459951,walking,CSI_DATA,1,103177,3214002775,3214219940,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,539,114,-36,6,0,11,1,6,0,0,0,-96,0,114,0,128,0 0 -26 53 -27 50 -27 50 -23 48 -21 49 -21 47 -19 48 -16 47 -14 47 -8 47 -7 47 -6 48 -5 49 -4 51 -3 50 -3 52 -4 52 -3 53 -6 54 -7 53 -10 52 -13 52 -12 50 -14 49 -15 46 -19 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 41 -19 41 -22 39 -24 40 -27 40 -28 42 -31 41 -32 41 -35 40 -34 39 -35 39 -35 39 -36 38 -35 39 -34 39 -32 39 -31 40 -29 41 -30 44 -29 45 -29 47 -28 47 -25 50 -26 50 -25 52 -24 52
2026-05-28T23:53:01.515876,walking,CSI_DATA,1,103178,3214060188,3214277353,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,540,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 23 52 23 52 21 47 28 51 25 46 26 45 29 44 31 43 34 40 36 43 36 40 36 40 38 39 39 37 47 40 45 38 48 44 44 42 48 44 45 47 42 50 40 51 36 56 30 54 27 55 23 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 40 7 39 5 41 4 40 3 44 2 44 2 47 0 47 0 49 -5 49 -5 47 -5 47 -5 45 -4 45 0 44 4 48 5 44 8 48 8 44 11 46 12 47 15 48 17 52 15 50 16 52 19 51
2026-05-28T23:53:01.557615,walking,CSI_DATA,1,103179,3214101782,3214318951,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,541,114,-38,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 52 25 51 23 48 21 53 22 50 18 51 15 51 12 52 10 52 8 55 9 54 9 53 7 55 6 55 2 63 0 61 -1 64 1 64 4 67 2 66 5 66 9 64 11 63 19 58 24 56 27 55 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 25 31 25 33 27 31 27 33 30 31 33 33 34 32 36 32 36 30 39 27 41 26 41 26 38 27 37 30 34 34 35 33 31 37 32 37 29 41 27 42 26 44 25 46 29 44 29 45 30 48 28
2026-05-28T23:53:01.619296,walking,CSI_DATA,1,103180,3214162938,3214380105,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,542,114,-39,6,0,11,1,7,0,0,1,-96,0,114,0,128,0 0 51 17 53 14 51 12 56 14 53 9 53 8 53 5 54 3 53 1 56 -2 56 -3 56 -7 58 -8 57 -9 65 -11 63 -11 68 -10 68 -9 72 -7 72 -3 72 1 69 3 70 7 68 11 68 14 65 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 24 30 25 32 27 30 27 31 30 30 32 31 34 29 36 29 35 29 36 28 36 27 35 29 34 29 32 30 29 33 30 33 27 37 27 38 23 39 23 41 21 43 20 47 21 47 18 47 19 50 19
2026-05-28T23:53:01.665484,walking,CSI_DATA,1,103181,3214208690,3214425856,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,543,114,-39,6,0,11,1,7,0,0,1,-95,0,114,0,128,0 0 -46 22 -49 25 -43 25 -47 28 -43 28 -41 31 -40 33 -39 34 -35 35 -40 36 -38 36 -38 38 -37 40 -34 41 -37 50 -34 48 -41 52 -41 46 -40 51 -43 48 -47 45 -45 46 -53 39 -53 32 -56 27 -55 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -39 3 -37 2 -42 1 -41 0 -45 0 -41 -3 -44 -2 -44 -3 -45 -2 -46 -8 -44 -10 -43 -10 -44 -8 -43 -6 -41 -2 -45 2 -41 4 -45 5 -42 7 -44 12 -45 13 -44 17 -48 14 -47 14 -48 15 -46 16
2026-05-28T23:53:01.711555,walking,CSI_DATA,1,103182,3214255142,3214472307,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,544,114,-37,6,0,11,1,6,0,0,0,-95,0,114,0,128,0 0 57 14 56 13 54 12 51 11 51 8 50 7 50 7 49 2 50 3 49 -3 48 -5 48 -9 48 -9 50 -10 51 -7 53 -7 52 -10 53 -7 55 -5 54 -2 55 -1 54 2 52 1 50 1 50 5 49 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 2 43 5 45 8 46 11 48 12 48 15 47 19 49 19 48 25 49 22 49 22 48 22 48 21 48 21 47 20 46 23 48 22 48 17 50 17 51 18 51 15 53 17 55 13 56 11 58 11 57 12
2026-05-28T23:53:01.725164,walking,CSI_DATA,1,103183,3214269001,3214486169,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,545,114,-37,6,0,11,1,7,0,0,1,-95,0,114,0,128,0 0 -6 59 -9 58 -8 55 -5 54 -5 53 -3 52 -2 51 2 49 3 50 7 48 9 47 10 48 11 47 13 48 14 49 14 50 15 52 13 50 12 52 10 51 9 52 4 52 4 51 3 49 0 47 -1 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 44 -2 44 -5 45 -7 45 -9 48 -10 50 -14 50 -14 51 -17 51 -19 51 -18 50 -18 50 -19 49 -18 49 -17 49 -17 50 -15 50 -13 51 -13 52 -12 53 -11 55 -12 56 -6 58 -8 58 -8 59 -6 58
2026-05-28T23:53:01.761965,walking,CSI_DATA,1,103184,3214305389,3214522556,e0:72:a1:d2:9a:d9,e0:72:a1:f2:fa:5c,0,546,114,-38,6,0,11,1,7,0,0,1,-95,0,114,0,128,0 0 -4 62 -9 57 -9 59 -6 54 -5 54 -3 53 -2 53 2 51 2 54 8 48 8 50 10 51 11 52 13 56 9 52 10 57 11 54 12 55 9 59 7 55 7 58 0 57 2 54 -1 53 -3 53 -7 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 44 -4 45 -7 43 -9 46 -12 45 -11 50 -14 47 -14 50 -19 48 -16 47 -16 47 -16 49 -16 47 -16 48 -16 48 -17 46 -15 50 -12 48 -12 50 -11 51 -8 53 -10 54 -3 56 -6 57 -4 60 -2 61
